player_name,Season,round_number,fantasy_points,CBAs,total_CBAs,CBA_percentage,TOG,kick_ins,kicks,handballs,disposals,marks,tackles,contestedMarks,uncontestedMarks,goals,behinds,hitouts,contestedPossessions,uncontestedPossessions,freesFor,freesAgainst,clangers,turnovers,rebound50s,inside50s,hitoutWinPercentage,disposalEfficiency,kick_efficiency,ruck_contests_attended,team,total_kick_ins,opposition_team,venue,start_time,temperature,conditions,kick_in_percentage,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status,games_played
Aaron Hall,2022,Round 16,12,0,30,0,2,0,3,0,3,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,100,100,0,North Melbourne,18,Geelong Cats,GMHBA Stadium,2022-07-02T19:25:00,13,OVERCAST,0,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Naughton,2022,Round 1,88,0,29,0,89,0,12,2,14,6,0,1,5,4,1,1,7,7,4,0,1,2,0,3,33.3,71.4,66.7,3,Western Bulldogs,13,Melbourne,MCG,2022-03-16T19:10:00,27,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 2,38,0,33,0,78,0,4,5,9,3,0,1,2,1,2,0,7,2,2,1,3,4,0,0,0,33.3,25,0,Western Bulldogs,6,Carlton,Marvel Stadium,2022-03-24T19:20:00,20,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 3,47,0,22,0,84,0,4,4,8,3,2,1,2,1,2,1,6,2,1,0,0,0,0,1,33.3,50,25,3,Western Bulldogs,6,Sydney Swans,Marvel Stadium,2022-03-31T19:20:00,21,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 4,73,0,26,0,86,0,9,5,14,5,1,2,3,2,3,2,5,8,0,0,2,2,0,1,25,57.1,33.3,8,Western Bulldogs,9,Richmond,MCG,2022-04-09T19:25:00,26,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 5,102,0,36,0,83,0,11,1,12,5,5,3,2,5,3,1,7,4,1,1,2,2,0,1,14.3,66.7,63.6,7,Western Bulldogs,5,North Melbourne,Marvel Stadium,2022-04-15T16:20:00,24,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 6,66,0,21,0,89,0,5,3,8,4,5,0,4,2,0,1,4,5,0,0,1,0,0,2,33.3,100,100,3,Western Bulldogs,15,Adelaide Crows,Mars Stadium,2022-04-23T13:45:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 7,56,0,30,0,79,0,6,7,13,4,3,3,1,0,1,1,11,1,1,1,4,1,0,2,16.7,84.6,83.3,6,Western Bulldogs,11,Essendon,Marvel Stadium,2022-05-01T15:20:00,20,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 8,92,0,26,0,92,0,12,3,15,6,1,3,3,4,2,0,8,7,2,0,0,0,0,0,0,73.3,66.7,3,Western Bulldogs,14,Port Adelaide,Adelaide Oval,2022-05-06T19:00:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 9,95,0,25,0,79,0,14,2,16,6,2,2,4,3,2,0,7,8,3,0,3,4,0,5,0,62.5,64.3,3,Western Bulldogs,9,Collingwood,Marvel Stadium,2022-05-13T19:50:00,19,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 10,88,0,32,0,92,0,9,6,15,5,4,4,1,3,2,0,10,6,1,1,3,2,0,1,0,73.3,55.6,5,Western Bulldogs,9,Gold Coast Suns,Mars Stadium,2022-05-21T13:45:00,17,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 11,74,0,38,0,84,0,8,3,11,3,3,1,2,4,1,0,4,8,1,1,4,3,0,2,0,54.5,62.5,0,Western Bulldogs,6,West Coast Eagles,Optus Stadium,2022-05-28T17:30:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 12,63,0,26,0,92,0,6,4,10,5,2,3,2,1,1,4,7,3,3,0,0,1,0,2,33.3,90,83.3,12,Western Bulldogs,11,Geelong Cats,Marvel Stadium,2022-06-03T19:50:00,13,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 14,81,0,39,0,84,0,9,1,10,6,1,4,2,5,1,1,7,4,1,1,1,0,0,2,16.7,90,88.9,6,Western Bulldogs,9,GWS Giants,GIANTS Stadium,2022-06-18T19:25:00,20,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 15,81,0,35,0,86,0,8,2,10,6,4,3,3,3,1,0,5,5,0,0,1,1,0,3,0,70,62.5,1,Western Bulldogs,11,Hawthorn,Marvel Stadium,2022-06-24T19:00:00,16,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 16,62,0,29,0,89,0,7,3,10,7,0,3,4,2,2,0,4,7,0,0,4,4,0,1,0,40,28.6,0,Western Bulldogs,12,Brisbane Lions,Gabba,2022-06-30T19:20:00,21,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Aaron Naughton,2022,Round 17,72,0,30,0,88,0,12,4,16,5,0,2,3,2,2,0,6,8,2,1,4,5,0,4,0,50,41.7,1,Western Bulldogs,18,Sydney Swans,SCG,2022-07-08T19:50:00,16,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,16
Adam Cerra,2022,Round 1,110,21,29,72.41,83,0,14,16,30,2,6,0,2,1,1,0,10,21,5,2,5,5,0,7,0,80,64.3,0,Carlton,10,Richmond,MCG,2022-03-17T19:25:00,29,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 3,70,12,26,46.15,72,0,12,11,23,3,2,0,3,0,0,0,9,13,1,2,4,4,1,6,0,78.3,75,0,Carlton,7,Hawthorn,MCG,2022-04-03T13:10:00,19,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 4,68,13,25,52,68,0,7,8,15,0,8,0,0,0,1,0,7,9,1,1,2,1,0,4,0,66.7,57.1,0,Carlton,14,Gold Coast Suns,Metricon Stadium,2022-04-10T16:10:00,27,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 5,91,25,31,80.65,77,0,10,22,32,1,4,0,1,0,0,0,9,23,1,1,4,1,0,5,0,84.4,80,0,Carlton,13,Port Adelaide,MCG,2022-04-17T13:40:00,28,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 6,107,19,27,70.37,80,0,13,19,32,4,5,0,4,0,0,0,17,17,4,2,4,4,0,4,0,81.3,76.9,0,Carlton,13,Fremantle,Optus Stadium,2022-04-23T17:40:00,18,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 7,89,21,31,67.74,75,0,12,14,26,5,3,0,5,1,0,0,9,17,1,3,5,4,0,8,0,61.5,66.7,1,Carlton,4,North Melbourne,Marvel Stadium,2022-04-30T19:25:00,18,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 8,106,20,31,64.52,82,0,17,10,27,4,7,0,4,0,0,0,9,18,1,2,5,5,0,10,0,70.4,64.7,0,Carlton,8,Adelaide Crows,Marvel Stadium,2022-05-08T16:40:00,16,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 9,95,20,30,66.67,77,0,12,12,24,3,7,0,3,0,0,0,10,16,1,1,3,7,2,5,0,70.8,58.3,0,Carlton,9,GWS Giants,GIANTS Stadium,2022-05-15T15:20:00,25,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 10,42,14,32,43.75,68,0,6,7,13,0,3,0,0,0,1,0,6,9,0,1,2,2,0,2,0,69.2,33.3,0,Carlton,9,Sydney Swans,Marvel Stadium,2022-05-20T19:50:00,16,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 11,119,15,26,57.69,82,0,20,10,30,5,4,0,5,1,0,0,14,17,5,1,7,8,5,6,0,76.7,80,0,Carlton,13,Collingwood,MCG,2022-05-29T15:20:00,15,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 13,5,2,23,8.7,8,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Carlton,12,Essendon,MCG,2022-06-10T19:50:00,14,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 16,62,0,28,0,71,0,10,6,16,5,1,0,5,0,0,0,4,13,1,0,4,3,0,0,0,56.3,40,0,Carlton,9,St Kilda,Marvel Stadium,2022-07-01T19:50:00,13,RAIN,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Cerra,2022,Round 17,106,14,29,48.28,81,0,18,9,27,7,3,2,5,0,0,0,9,20,1,0,5,10,1,8,0,63,61.1,0,Carlton,5,West Coast Eagles,Optus Stadium,2022-07-10T14:40:00,18,MOSTLY_SUNNY,0,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 3,40,0,24,0,22,0,5,1,6,5,2,0,5,0,0,0,0,6,0,0,0,0,0,1,0,100,100,0,GWS Giants,9,Gold Coast Suns,GIANTS Stadium,2022-04-02T16:35:00,21,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GWS Giants,10,Fremantle,Optus Stadium,2022-04-09T17:25:00,18,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 5,61,0,30,0,86,2,12,5,17,5,0,0,5,0,0,0,0,16,0,0,2,7,3,1,0,76.5,66.7,0,GWS Giants,6,Melbourne,MCG,2022-04-16T19:25:00,27,SUNNY,33.33,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 6,94,0,22,0,80,1,14,10,24,6,3,0,6,0,0,0,9,14,2,0,4,3,5,4,0,79.2,71.4,0,GWS Giants,17,St Kilda,Manuka Oval,2022-04-22T19:50:00,18,MOSTLY_SUNNY,5.88,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 7,74,0,29,0,90,0,10,8,18,5,3,0,5,0,0,0,3,16,1,0,2,4,2,0,0,72.2,70,0,GWS Giants,6,Adelaide Crows,Adelaide Oval,2022-04-30T13:40:00,18,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 8,49,0,20,0,81,1,9,1,10,4,2,0,4,0,0,0,1,8,0,0,1,3,3,1,0,90,88.9,0,GWS Giants,16,Geelong Cats,Manuka Oval,2022-05-07T16:35:00,13,MOSTLY_SUNNY,6.25,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 9,89,0,30,0,82,4,13,7,20,7,2,0,7,1,0,0,5,11,1,0,2,5,6,1,0,90,84.6,0,GWS Giants,15,Carlton,GIANTS Stadium,2022-05-15T15:20:00,25,RAIN,26.67,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 10,93,0,38,0,81,0,15,6,21,9,2,0,9,0,0,0,3,19,1,0,0,1,4,1,0,85.7,93.3,0,GWS Giants,8,West Coast Eagles,GIANTS Stadium,2022-05-22T14:10:00,19,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 13,75,0,26,0,85,0,11,6,17,10,0,0,10,0,0,0,1,16,0,0,1,3,2,1,0,100,100,0,GWS Giants,11,North Melbourne,Marvel Stadium,2022-06-12T15:20:00,13,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 14,76,0,39,0,81,1,10,9,19,8,1,1,7,0,0,0,3,14,0,0,0,1,3,2,0,100,100,0,GWS Giants,11,Western Bulldogs,GIANTS Stadium,2022-06-18T19:25:00,20,RAIN,9.09,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 15,48,0,27,0,83,1,9,4,13,4,1,0,4,0,0,0,1,11,0,1,1,2,1,4,0,76.9,77.8,0,GWS Giants,22,Collingwood,MCG,2022-06-26T15:20:00,13,RAIN,4.55,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 16,46,0,22,0,75,0,10,2,12,0,3,0,0,0,0,0,3,7,0,0,3,3,2,2,0,50,50,0,GWS Giants,8,Hawthorn,GIANTS Stadium,2022-07-03T15:20:00,15,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Kennedy,2022,Round 17,47,0,19,0,61,0,8,2,10,5,1,0,5,0,0,0,1,9,0,0,0,3,4,1,0,70,62.5,0,GWS Giants,12,Port Adelaide,Adelaide Oval,2022-07-09T19:00:00,18,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,13
Adam Saad,2022,Round 1,101,0,29,0,83,2,17,4,21,8,4,0,8,0,0,0,6,13,2,0,0,2,3,6,0,95.2,100,0,Carlton,10,Richmond,MCG,2022-03-17T19:25:00,29,RAIN,20,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 2,77,0,33,0,79,3,18,4,22,6,0,0,6,0,0,0,5,13,0,1,5,5,2,4,0,72.7,66.7,0,Carlton,12,Western Bulldogs,Marvel Stadium,2022-03-24T19:20:00,20,MOSTLY_SUNNY,25,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 4,75,0,25,0,84,4,14,9,23,2,2,1,1,0,0,0,9,10,1,0,3,4,6,4,0,78.3,64.3,0,Carlton,14,Gold Coast Suns,Metricon Stadium,2022-04-10T16:10:00,27,MOSTLY_SUNNY,28.57,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 5,61,0,31,0,80,1,9,11,20,1,2,0,1,0,0,0,6,13,1,0,3,5,4,1,0,70,55.6,0,Carlton,13,Port Adelaide,MCG,2022-04-17T13:40:00,28,MOSTLY_SUNNY,7.69,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 6,89,0,27,0,82,4,13,10,23,8,1,1,7,0,0,0,5,17,2,0,2,4,2,1,0,87,92.3,0,Carlton,13,Fremantle,Optus Stadium,2022-04-23T17:40:00,18,MOSTLY_SUNNY,30.77,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 7,96,0,31,0,76,1,14,11,25,6,3,0,6,0,0,0,6,17,2,0,2,4,3,6,0,88,78.6,0,Carlton,4,North Melbourne,Marvel Stadium,2022-04-30T19:25:00,18,MOSTLY_SUNNY,25,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 8,50,0,31,0,76,1,9,5,14,4,1,0,4,0,0,0,2,12,0,1,2,0,3,3,0,92.9,88.9,0,Carlton,8,Adelaide Crows,Marvel Stadium,2022-05-08T16:40:00,16,RAIN,12.5,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 9,63,0,30,0,82,2,11,7,18,4,1,0,4,0,0,0,5,11,0,0,2,2,5,3,0,88.9,90.9,0,Carlton,9,GWS Giants,GIANTS Stadium,2022-05-15T15:20:00,25,RAIN,22.22,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 10,91,0,32,0,85,2,17,4,21,6,4,1,5,0,0,0,5,14,1,1,1,3,5,2,0,85.7,88.2,0,Carlton,9,Sydney Swans,Marvel Stadium,2022-05-20T19:50:00,16,MOSTLY_SUNNY,22.22,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 11,83,0,26,0,84,3,17,10,27,5,0,2,3,0,0,0,8,12,0,1,3,5,3,5,0,85.2,82.4,0,Carlton,13,Collingwood,MCG,2022-05-29T15:20:00,15,MOSTLY_SUNNY,23.08,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 13,93,0,23,0,81,3,15,4,19,5,6,0,5,0,0,0,3,14,1,0,1,3,6,3,0,78.9,73.3,0,Carlton,12,Essendon,MCG,2022-06-10T19:50:00,14,RAIN,25,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 14,91,0,24,0,84,6,15,10,25,3,4,1,2,0,0,0,9,8,1,0,6,6,7,0,0,80,73.3,0,Carlton,15,Richmond,MCG,2022-06-16T19:20:00,15,RAIN,40,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 15,87,0,23,0,79,2,18,10,28,6,1,0,6,0,0,0,7,20,0,3,6,4,5,4,0,92.9,94.4,0,Carlton,8,Fremantle,Marvel Stadium,2022-06-25T13:45:00,16,MOSTLY_SUNNY,25,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 16,92,0,28,0,79,0,18,7,25,5,2,1,4,0,0,0,13,13,1,0,2,4,10,2,0,80,72.2,0,Carlton,9,St Kilda,Marvel Stadium,2022-07-01T19:50:00,13,RAIN,0,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Saad,2022,Round 17,53,0,29,0,77,0,11,2,13,4,1,0,4,0,0,0,3,11,0,0,0,1,2,3,0,84.6,81.8,0,Carlton,5,West Coast Eagles,Optus Stadium,2022-07-10T14:40:00,18,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE,15
Adam Tomlinson,2022,Round 1,35,0,29,0,100,0,6,2,8,4,1,0,4,0,0,0,3,6,0,1,2,3,1,0,0,75,66.7,0,Melbourne,5,Western Bulldogs,MCG,2022-03-16T19:10:00,27,RAIN,0,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Tomlinson,2022,Round 2,88,0,26,0,100,1,16,7,23,9,2,1,8,0,0,0,6,14,0,3,5,2,7,0,0,87,87.5,0,Melbourne,9,Gold Coast Suns,Metricon Stadium,2022-03-26T19:00:00,18,MOSTLY_SUNNY,11.11,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Tomlinson,2022,Round 3,40,0,28,0,100,0,8,2,10,5,0,1,4,0,0,0,4,5,0,1,2,4,4,0,0,40,50,0,Melbourne,10,Essendon,MCG,2022-04-01T19:20:00,20,MOSTLY_SUNNY,0,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Tomlinson,2022,Round 4,33,0,18,0,96,1,6,1,7,3,1,0,3,0,0,0,1,5,0,0,1,3,3,1,0,85.7,83.3,0,Melbourne,12,Port Adelaide,Adelaide Oval,2022-04-07T19:10:00,18,MOSTLY_SUNNY,8.33,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Tomlinson,2022,Round 12,43,0,23,0,100,3,9,3,12,4,1,1,3,0,0,0,5,5,0,2,6,5,7,0,0,66.7,66.7,0,Melbourne,13,Sydney Swans,MCG,2022-06-04T19:25:00,15,RAIN,23.08,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Tomlinson,2022,Round 16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne,5,Adelaide Crows,Adelaide Oval,2022-07-02T16:05:00,18,MOSTLY_SUNNY,0,KEY_DEFENDER,1993-08-10,194,95,TRUE,FALSE,FALSE,FALSE,6
Adam Treloar,2022,Round 1,95,16,29,55.17,81,0,16,10,26,5,0,0,5,2,0,0,4,22,0,0,4,10,0,4,0,69.2,56.3,0,Western Bulldogs,13,Melbourne,MCG,2022-03-16T19:10:00,27,RAIN,0,MIDFIELDER,1993-03-09,184,89,FALSE,TRUE,FALSE,TRUE,16
