player_name,Season,round_number,fantasy_points,CBAs,total_CBAs,CBA_percentage,TOG,kick_ins,kicks,handballs,disposals,marks,tackles,contestedMarks,uncontestedMarks,goals,behinds,hitouts,contestedPossessions,uncontestedPossessions,freesFor,freesAgainst,clangers,turnovers,disposalEfficiency,kick_efficiency,ruck_contests_attended,team,total_kick_ins,opposition_team,venue,start_time,temperature,conditions,kick_in_percentage,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status,games_played
Aaron Hall,2021,Round 4,123,0,30,0,92,7,25,8,33,6,3,0,6,0,1,0,5,21,1,0,4,3,75.8,80,0,North Melbourne,13,Adelaide Crows,Marvel Stadium,2021-04-11T13:10:00,15,RAIN,53.85,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 5,35,0,21,0,23,1,7,1,8,3,0,0,3,1,0,0,1,6,0,1,2,1,62.5,71.4,0,North Melbourne,17,Geelong Cats,GMHBA Stadium,2021-04-18T16:40:00,21,MOSTLY_SUNNY,5.88,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 7,143,0,31,0,81,2,25,8,33,12,4,0,12,0,0,0,5,27,0,0,5,9,66.7,64,0,North Melbourne,7,Melbourne,Blundstone Arena,2021-05-02T13:10:00,21,MOSTLY_SUNNY,28.57,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 8,133,0,29,0,85,5,30,7,37,8,1,0,8,0,1,0,6,24,0,0,4,9,73,70,0,North Melbourne,10,Collingwood,Marvel Stadium,2021-05-08T16:35:00,20,RAIN,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 9,103,0,29,0,80,2,17,11,28,6,3,0,6,0,0,0,5,21,0,0,4,6,85.7,88.2,0,North Melbourne,8,Hawthorn,University of Tasmania Stadium,2021-05-15T14:10:00,13,MOSTLY_SUNNY,25,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 10,122,0,36,0,83,3,24,5,29,7,4,0,7,0,1,0,6,20,2,0,3,6,72.4,70.8,0,North Melbourne,9,Essendon,Marvel Stadium,2021-05-23T16:40:00,20,MOSTLY_SUNNY,33.33,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 11,128,0,26,0,84,8,25,8,33,7,4,0,7,0,0,0,5,21,0,0,4,5,81.8,76,0,North Melbourne,16,St Kilda,Marvel Stadium,2021-05-29T16:35:00,14,MOSTLY_SUNNY,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 13,133,0,32,0,84,5,27,8,35,6,4,1,5,0,1,0,6,24,1,0,4,10,71.4,63,0,North Melbourne,10,GWS Giants,Blundstone Arena,2021-06-13T15:20:00,15,RAIN,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 14,98,0,19,0,79,6,22,5,27,3,3,0,3,0,1,0,6,16,0,0,3,6,59.3,54.5,0,North Melbourne,14,Brisbane Lions,Blundstone Arena,2021-06-19T16:35:00,13,RAIN,42.86,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 15,88,0,22,0,87,3,14,3,17,9,3,1,8,0,0,0,4,11,1,0,1,2,58.8,57.1,0,North Melbourne,9,Gold Coast Suns,Blundstone Arena,2021-06-26T13:45:00,12,RAIN,33.33,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 16,134,0,31,0,84,3,23,8,31,13,3,0,13,0,1,0,3,26,0,1,3,3,80.6,73.9,0,North Melbourne,12,Western Bulldogs,Marvel Stadium,2021-07-04T16:40:00,13,RAIN,25,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 17,92,0,22,0,84,5,20,4,24,8,0,1,7,0,0,0,4,16,0,0,1,1,79.2,80,0,North Melbourne,12,West Coast Eagles,Optus Stadium,2021-07-12T17:40:00,18,MOSTLY_SUNNY,41.67,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 18,136,0,28,0,85,6,28,3,31,14,1,0,14,0,0,0,0,25,0,0,5,5,77.4,78.6,0,North Melbourne,14,Essendon,Metricon Stadium,2021-07-18T12:35:00,20,SUNNY,42.86,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 19,112,0,33,0,84,3,19,6,25,9,4,0,9,0,0,0,4,19,0,0,1,4,88,84.2,0,North Melbourne,11,Carlton,Marvel Stadium,2021-07-24T13:45:00,13,RAIN,27.27,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 20,120,0,18,0,82,7,24,12,36,6,1,0,6,0,0,0,5,23,2,0,3,5,86.1,83.3,0,North Melbourne,14,Geelong Cats,Blundstone Arena,2021-07-31T13:15:00,16,RAIN,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 21,126,0,25,0,91,6,23,15,38,9,0,0,9,0,0,0,3,30,0,0,2,4,81.6,73.9,0,North Melbourne,11,Richmond,MCG,2021-08-07T16:35:00,15,RAIN,54.55,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 22,120,0,29,0,85,8,26,4,30,10,1,1,9,0,0,0,5,18,0,0,4,9,70,69.2,0,North Melbourne,13,Sydney Swans,Marvel Stadium,2021-08-14T19:40:00,18,MOSTLY_SUNNY,61.54,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 23,127,0,25,0,90,14,28,9,37,5,3,0,5,0,0,0,3,21,1,1,6,9,75.7,78.6,0,North Melbourne,20,Adelaide Crows,Adelaide Oval,2021-08-22T16:10:00,18,MOSTLY_SUNNY,70,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Naughton,2021,Round 1,77,0,21,0,76,0,10,5,15,7,1,1,6,2,0,0,3,12,0,0,3,3,53.3,60,0,Western Bulldogs,11,Collingwood,MCG,2021-03-19T19:50:00,27,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 2,91,0,32,0,85,0,11,2,13,8,2,2,6,3,2,0,5,8,2,0,0,1,69.2,63.6,0,Western Bulldogs,9,West Coast Eagles,Marvel Stadium,2021-03-28T15:20:00,20,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 3,89,0,34,0,79,0,12,2,14,7,3,2,5,2,2,0,8,5,2,0,2,3,64.3,66.7,0,Western Bulldogs,9,North Melbourne,Marvel Stadium,2021-04-02T16:20:00,29,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 4,102,0,22,0,92,0,11,7,18,8,4,4,4,2,5,0,11,7,1,1,1,1,66.7,45.5,0,Western Bulldogs,6,Brisbane Lions,Mars Stadium,2021-04-10T13:35:00,15,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 5,68,0,29,0,86,0,10,2,12,6,0,3,3,2,3,0,9,5,1,0,0,3,50,40,0,Western Bulldogs,8,Gold Coast Suns,Marvel Stadium,2021-04-17T16:35:00,18,OVERCAST,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 6,84,0,28,0,91,0,11,2,13,9,1,4,5,2,3,0,6,7,1,0,2,1,46.2,36.4,0,Western Bulldogs,11,GWS Giants,Manuka Oval,2021-04-23T19:50:00,17,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 7,67,0,22,0,92,0,9,2,11,8,0,1,7,3,0,0,3,9,0,2,4,4,81.8,88.9,0,Western Bulldogs,11,Richmond,MCG,2021-04-30T19:50:00,23,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 8,55,0,33,0,89,0,6,3,9,6,1,3,3,2,1,1,4,6,1,2,4,3,77.8,66.7,1,Western Bulldogs,13,Carlton,Marvel Stadium,2021-05-09T15:20:00,20,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 9,82,0,31,0,88,0,10,1,11,5,2,3,2,4,0,0,9,4,3,0,2,3,72.7,80,0,Western Bulldogs,5,Port Adelaide,Adelaide Oval,2021-05-15T19:10:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 10,109,0,30,0,83,0,11,4,15,9,2,3,6,5,4,0,7,8,2,1,1,1,60,54.5,0,Western Bulldogs,3,St Kilda,Marvel Stadium,2021-05-22T19:25:00,19,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 11,61,0,25,0,86,0,8,6,14,8,0,3,5,1,1,0,9,5,0,2,2,4,78.6,62.5,0,Western Bulldogs,9,Melbourne,Marvel Stadium,2021-05-28T19:50:00,14,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 12,105,0,26,0,85,0,13,6,19,13,1,5,8,1,5,0,5,14,0,0,2,3,42.1,23.1,0,Western Bulldogs,11,Fremantle,Optus Stadium,2021-06-06T16:40:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 14,20,0,27,0,43,0,3,1,4,1,1,1,0,0,1,0,3,1,1,0,0,1,50,66.7,0,Western Bulldogs,11,Geelong Cats,GMHBA Stadium,2021-06-18T19:50:00,15,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 15,93,0,23,0,84,0,9,6,15,9,0,5,4,4,2,0,12,4,1,0,0,0,86.7,77.8,0,Western Bulldogs,7,West Coast Eagles,Optus Stadium,2021-06-27T13:20:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 16,33,0,31,0,38,0,4,3,7,3,1,1,2,0,2,0,2,5,0,0,2,1,42.9,0,0,Western Bulldogs,13,North Melbourne,Marvel Stadium,2021-07-04T16:40:00,13,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 18,36,0,29,0,86,0,2,7,9,4,1,1,3,1,0,0,3,6,0,2,4,3,77.8,50,0,Western Bulldogs,13,Gold Coast Suns,Metricon Stadium,2021-07-17T16:35:00,21,SUNNY,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 19,51,0,26,0,87,0,5,4,9,3,1,2,1,2,1,0,7,3,2,0,0,0,66.7,60,0,Western Bulldogs,11,Melbourne,MCG,2021-07-24T19:25:00,13,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 20,26,0,27,0,75,0,3,2,5,3,1,0,3,1,2,0,4,3,1,3,3,3,40,33.3,0,Western Bulldogs,8,Adelaide Crows,Mars Stadium,2021-07-31T12:20:00,14,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 21,65,1,31,3.23,84,0,5,6,11,5,4,2,3,1,3,1,5,6,0,1,2,2,36.4,20,3,Western Bulldogs,7,Essendon,Marvel Stadium,2021-08-08T15:20:00,16,OVERCAST,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 22,46,0,18,0,79,0,4,4,8,5,1,3,2,1,1,0,5,3,0,0,1,2,50,50,0,Western Bulldogs,10,Hawthorn,University of Tasmania Stadium,2021-08-14T13:45:00,14,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron Naughton,2021,Round 23,43,0,23,0,90,0,5,3,8,5,1,2,3,1,0,0,4,5,0,1,3,4,62.5,80,0,Western Bulldogs,12,Port Adelaide,Marvel Stadium,2021-08-20T19:50:00,16,RAIN,0,KEY_FORWARD,1999-11-30,195,93,FALSE,FALSE,FALSE,TRUE,21
Aaron vandenBerg,2021,Round 16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne,10,GWS Giants,MCG,2021-07-03T13:45:00,11,RAIN,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Aaron vandenBerg,2021,Round 18,58,8,27,29.63,65,0,10,6,16,2,4,0,2,0,0,0,3,13,0,2,3,1,75,70,0,Melbourne,7,Hawthorn,MCG,2021-07-17T19:25:00,13,RAIN,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Aaron vandenBerg,2021,Round 21,43,2,23,8.7,58,0,8,3,11,1,4,0,1,0,0,0,3,7,0,2,6,4,54.5,37.5,0,Melbourne,9,West Coast Eagles,Optus Stadium,2021-08-09T18:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Aaron vandenBerg,2021,Round 22,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melbourne,9,Adelaide Crows,MCG,2021-08-15T14:10:00,19,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Adam Cerra,2021,Round 1,102,15,23,65.22,78,0,14,10,24,7,5,0,7,0,1,0,9,15,1,1,2,5,79.2,71.4,0,Fremantle,14,Melbourne,MCG,2021-03-20T13:45:00,26,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 2,98,13,22,59.09,70,0,17,11,28,7,1,0,7,0,1,0,11,18,2,1,3,6,67.9,58.8,0,Fremantle,14,GWS Giants,Optus Stadium,2021-03-28T15:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 3,66,18,29,62.07,84,0,14,5,19,3,3,0,3,0,0,0,5,14,2,3,7,8,52.6,50,0,Fremantle,13,Carlton,Marvel Stadium,2021-04-04T15:20:00,23,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 4,110,11,29,37.93,78,0,17,6,23,7,6,0,7,0,0,0,6,17,2,0,1,4,82.6,76.5,0,Fremantle,9,Hawthorn,Optus Stadium,2021-04-11T14:40:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 5,17,2,27,7.41,10,0,1,3,4,1,1,0,1,0,0,0,3,1,1,0,0,0,100,100,0,Fremantle,6,Adelaide Crows,Adelaide Oval,2021-04-18T12:40:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 9,86,2,22,9.09,80,0,14,14,28,4,0,1,3,1,0,0,9,18,1,1,5,4,78.6,71.4,0,Fremantle,8,Essendon,Marvel Stadium,2021-05-16T13:10:00,16,RAIN,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 10,89,2,29,6.9,74,0,15,10,25,6,0,0,6,1,0,0,10,17,0,0,3,3,72,66.7,0,Fremantle,6,Sydney Swans,Optus Stadium,2021-05-22T17:40:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 11,87,4,31,12.9,81,0,13,14,27,6,0,0,6,0,1,0,10,17,1,0,2,6,59.3,38.5,0,Fremantle,7,Port Adelaide,Adelaide Oval,2021-05-30T16:50:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 12,76,14,26,53.85,90,0,13,8,21,5,2,0,5,0,0,0,5,16,1,1,4,2,76.2,61.5,0,Fremantle,15,Western Bulldogs,Optus Stadium,2021-06-06T16:40:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 13,83,12,21,57.14,81,0,10,11,21,4,6,0,4,0,1,0,8,14,0,2,3,3,76.2,70,0,Fremantle,13,Gold Coast Suns,Optus Stadium,2021-06-12T14:15:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 15,56,21,30,70,80,0,11,8,19,2,1,0,2,0,0,0,9,8,0,1,4,3,68.4,63.6,0,Fremantle,7,Collingwood,Marvel Stadium,2021-06-26T13:45:00,13,RAIN,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 16,98,12,24,50,77,0,15,9,24,5,4,0,5,0,2,0,11,12,2,0,0,2,70.8,60,0,Fremantle,8,Carlton,MCG,2021-07-03T19:40:00,11,RAIN,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 17,82,9,26,34.62,75,0,16,10,26,4,0,0,4,0,1,0,10,17,1,0,3,6,61.5,50,0,Fremantle,10,Hawthorn,University of Tasmania Stadium,2021-07-10T13:45:00,13,OVERCAST,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 18,75,6,21,28.57,81,0,11,7,18,5,3,0,5,0,1,0,5,14,0,0,0,2,61.1,54.5,0,Fremantle,16,Geelong Cats,Optus Stadium,2021-07-15T18:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 19,129,8,26,30.77,88,0,19,11,30,9,3,0,9,2,0,0,8,23,2,1,5,6,66.7,63.2,0,Fremantle,14,Sydney Swans,Metricon Stadium,2021-07-25T12:30:00,21,SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 20,138,14,17,82.35,79,0,21,12,33,8,6,0,8,0,1,0,11,23,2,0,8,7,63.6,57.1,0,Fremantle,15,Richmond,Optus Stadium,2021-08-01T15:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 21,98,24,30,80,84,0,15,9,24,6,4,0,6,0,0,0,6,17,1,0,4,8,62.5,60,0,Fremantle,10,Brisbane Lions,Optus Stadium,2021-08-08T15:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Cerra,2021,Round 22,82,17,25,68,79,0,14,7,21,4,2,0,4,1,1,0,8,15,2,1,5,4,66.7,57.1,0,Fremantle,10,West Coast Eagles,Optus Stadium,2021-08-15T15:10:00,18,MOSTLY_SUNNY,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Adam Kennedy,2021,Round 13,42,0,32,0,81,0,6,5,11,3,2,0,3,0,0,0,5,6,0,1,2,3,81.8,83.3,0,GWS Giants,10,North Melbourne,Blundstone Arena,2021-06-13T15:20:00,15,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 14,51,0,29,0,81,0,7,3,10,4,3,0,4,0,0,0,1,9,0,0,0,0,90,85.7,0,GWS Giants,12,Carlton,GIANTS Stadium,2021-06-19T19:25:00,16,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 15,71,0,28,0,76,0,9,8,17,5,3,0,5,0,1,0,6,12,0,0,2,3,76.5,55.6,0,GWS Giants,12,Hawthorn,MCG,2021-06-27T13:10:00,15,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 16,81,0,20,0,83,0,13,5,18,9,2,1,8,0,0,0,6,13,0,1,4,5,72.2,61.5,0,GWS Giants,13,Melbourne,MCG,2021-07-03T13:45:00,11,RAIN,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 17,51,0,23,0,83,0,11,5,16,1,1,1,0,0,0,0,5,10,1,0,1,2,75,63.6,0,GWS Giants,5,Gold Coast Suns,Mars Stadium,2021-07-11T12:40:00,10,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 18,66,0,30,0,91,1,6,10,16,2,4,0,2,1,0,0,5,11,0,0,0,2,100,100,0,GWS Giants,8,Sydney Swans,Metricon Stadium,2021-07-18T18:10:00,20,SUNNY,12.5,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
Adam Kennedy,2021,Round 19,71,0,20,0,83,0,8,10,18,9,0,2,7,0,0,0,7,13,0,0,0,1,88.9,87.5,0,GWS Giants,11,Essendon,Metricon Stadium,2021-07-25T18:10:00,21,SUNNY,0,MEDIUM_DEFENDER,1992-07-12,184,80,TRUE,TRUE,FALSE,FALSE,9
