player_name,team,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status
Brodie Grundy,Collingwood,RUCK,1994-04-15,203,104,FALSE,FALSE,TRUE,FALSE
Darcy Moore,Collingwood,KEY_DEFENDER,1996-01-25,203,100,TRUE,FALSE,FALSE,FALSE
Darcy Cameron,Collingwood,KEY_FORWARD,1995-07-18,204,101,FALSE,FALSE,FALSE,TRUE
Brayden Maynard,Collingwood,MEDIUM_DEFENDER,1996-09-20,189,93,TRUE,FALSE,FALSE,FALSE
Tom Wilson,Collingwood,MEDIUM_FORWARD,1997-06-24,194,86,TRUE,FALSE,FALSE,FALSE
Jordan De Goey,Collingwood,MIDFIELDER_FORWARD,1996-03-15,188,93,FALSE,TRUE,FALSE,TRUE
Nathan Kreuger,Collingwood,KEY_FORWARD,1999-06-25,196,93,TRUE,FALSE,FALSE,FALSE
Ash Johnson,Collingwood,KEY_FORWARD,1997-10-06,193,87,FALSE,FALSE,FALSE,TRUE
Mason Cox,Collingwood,KEY_FORWARD,1991-03-14,211,108,FALSE,FALSE,FALSE,TRUE
Jez McLennan,Gold Coast Suns,MEDIUM_DEFENDER,2000-09-07,185,85,TRUE,FALSE,FALSE,FALSE
Chris Burgess,Gold Coast Suns,KEY_DEFENDER,1995-11-26,191,94,FALSE,FALSE,TRUE,TRUE
Izak Rankine,Gold Coast Suns,MEDIUM_FORWARD,2000-04-23,181,81,FALSE,FALSE,FALSE,TRUE
Charlie Constable,Gold Coast Suns,MIDFIELDER,1999-05-18,192,86,FALSE,TRUE,FALSE,FALSE
Jack Lukosius,Gold Coast Suns,KEY_FORWARD,2000-08-09,195,91,TRUE,TRUE,FALSE,FALSE
Josh Corbett,Gold Coast Suns,KEY_FORWARD,1996-04-23,190,90,FALSE,FALSE,FALSE,TRUE
Malcolm Rosas,Gold Coast Suns,MEDIUM_FORWARD,2001-06-27,175,70,FALSE,FALSE,FALSE,TRUE
Joel Jeffrey,Gold Coast Suns,KEY_FORWARD,2002-03-12,192,82,FALSE,FALSE,FALSE,TRUE
Caleb Graham,Gold Coast Suns,KEY_DEFENDER,2000-09-12,195,96,TRUE,FALSE,TRUE,FALSE
Ben King,Gold Coast Suns,KEY_FORWARD,2000-07-07,202,98,FALSE,FALSE,FALSE,TRUE
Wil Powell,Gold Coast Suns,MEDIUM_DEFENDER,1999-08-26,185,81,TRUE,FALSE,FALSE,FALSE
Connor Budarick,Gold Coast Suns,MEDIUM_DEFENDER,2001-04-06,175,75,TRUE,FALSE,FALSE,FALSE
Charlie Ballard,Gold Coast Suns,KEY_DEFENDER,1999-07-23,196,95,TRUE,FALSE,FALSE,FALSE
Noah Anderson,Gold Coast Suns,MIDFIELDER,2001-02-17,192,88,FALSE,TRUE,FALSE,FALSE
Matt Rowell,Gold Coast Suns,MIDFIELDER,2001-07-01,180,80,FALSE,TRUE,FALSE,FALSE
Sam Flanders,Gold Coast Suns,MEDIUM_FORWARD,2001-07-24,183,82,FALSE,FALSE,FALSE,TRUE
Hewago Paul Oea,Gold Coast Suns,MIDFIELDER,2001-11-13,172,70,FALSE,TRUE,FALSE,TRUE
Matt Conroy,Gold Coast Suns,RUCK,2000-11-07,199,95,FALSE,FALSE,TRUE,FALSE
Jeremy Sharp,Gold Coast Suns,MIDFIELDER,2001-08-13,189,81,FALSE,TRUE,FALSE,FALSE
Elijah Hollands,Gold Coast Suns,MIDFIELDER_FORWARD,2002-04-25,189,86,FALSE,TRUE,FALSE,TRUE
Rhys Nicholls,Gold Coast Suns,MEDIUM_DEFENDER,2002-09-30,188,79,TRUE,FALSE,FALSE,FALSE
Alex Davies,Gold Coast Suns,MIDFIELDER_FORWARD,2002-03-18,191,86,FALSE,TRUE,FALSE,TRUE
Sandy Brock,Gold Coast Suns,KEY_DEFENDER,2002-12-14,198,86,TRUE,FALSE,FALSE,FALSE
Patrick Murtagh,Gold Coast Suns,KEY_FORWARD,2000-02-11,196,98,FALSE,FALSE,TRUE,TRUE
Mac Andrew,Gold Coast Suns,RUCK,2003-12-04,201,74,FALSE,FALSE,TRUE,FALSE
Bodhi Uwland,Gold Coast Suns,KEY_DEFENDER,2003-07-25,185,84,TRUE,TRUE,FALSE,FALSE
Ned Moyle,Gold Coast Suns,RUCK,2002-02-15,205,96,FALSE,FALSE,TRUE,FALSE
Rory Thompson,Gold Coast Suns,KEY_DEFENDER,1991-03-12,200,100,TRUE,FALSE,FALSE,FALSE
Levi Casboult,Gold Coast Suns,KEY_FORWARD,1990-03-15,199,104,FALSE,FALSE,FALSE,TRUE
David Swallow,Gold Coast Suns,MEDIUM_DEFENDER,1992-11-19,185,87,TRUE,TRUE,FALSE,FALSE
Sam Day,Gold Coast Suns,KEY_FORWARD,1992-09-06,197,99,FALSE,FALSE,FALSE,TRUE
Jarrod Witts,Gold Coast Suns,RUCK,1992-09-13,209,111,FALSE,FALSE,TRUE,FALSE
Brandon Ellis,Gold Coast Suns,MIDFIELDER,1993-08-03,181,82,TRUE,TRUE,FALSE,FALSE
Sean Lemmens,Gold Coast Suns,MEDIUM_DEFENDER,1994-11-02,184,81,TRUE,FALSE,FALSE,FALSE
Rory Atkins,Gold Coast Suns,MIDFIELDER,1994-07-12,186,85,FALSE,TRUE,FALSE,FALSE
Alex Sexton,Gold Coast Suns,MEDIUM_FORWARD,1993-12-03,186,82,FALSE,FALSE,FALSE,TRUE
Sam Collins,Gold Coast Suns,KEY_DEFENDER,1994-06-15,194,99,TRUE,FALSE,FALSE,FALSE
James Tsitas,Gold Coast Suns,MIDFIELDER,1995-03-03,181,84,FALSE,TRUE,FALSE,FALSE
Nick Holman,Gold Coast Suns,MEDIUM_FORWARD,1995-05-29,189,86,FALSE,FALSE,FALSE,TRUE
Touk Miller,Gold Coast Suns,MIDFIELDER,1996-02-22,178,84,FALSE,TRUE,FALSE,FALSE
Oleg Markov,Gold Coast Suns,MIDFIELDER,1996-05-08,188,85,TRUE,FALSE,FALSE,FALSE
Lachie Weller,Gold Coast Suns,MEDIUM_DEFENDER,1996-02-23,181,83,FALSE,TRUE,FALSE,TRUE
Brayden Fiorini,Gold Coast Suns,MIDFIELDER,1997-08-22,186,84,FALSE,TRUE,FALSE,FALSE
Mabior Chol,Gold Coast Suns,KEY_FORWARD,1997-01-29,200,96,FALSE,FALSE,TRUE,TRUE
Darcy Macpherson,Gold Coast Suns,MEDIUM_FORWARD,1997-10-29,174,79,FALSE,FALSE,FALSE,TRUE
Ben Ainsworth,Gold Coast Suns,MEDIUM_FORWARD,1998-02-10,179,77,FALSE,FALSE,FALSE,TRUE
Jack Bowes,Gold Coast Suns,MEDIUM_DEFENDER,1998-01-26,187,88,TRUE,FALSE,FALSE,FALSE
Jy Farrar,Gold Coast Suns,KEY_DEFENDER,1996-12-07,191,77,TRUE,FALSE,FALSE,FALSE
Harry McKay,Carlton,KEY_FORWARD,1997-12-24,204,104,FALSE,FALSE,FALSE,TRUE
Jack Silvagni,Carlton,MEDIUM_FORWARD,1997-12-17,194,91,FALSE,FALSE,FALSE,TRUE
Matthew Kennedy,Carlton,MIDFIELDER,1997-04-06,190,90,FALSE,TRUE,FALSE,FALSE
Lachie Fogarty,Carlton,MEDIUM_FORWARD,1999-04-01,180,76,FALSE,FALSE,FALSE,TRUE
Adam Cerra,Carlton,MIDFIELDER,1999-10-07,187,86,FALSE,TRUE,FALSE,FALSE
Paddy Dow,Carlton,MIDFIELDER_FORWARD,1999-10-16,187,85,FALSE,TRUE,FALSE,FALSE
Lochie O'Brien,Carlton,MIDFIELDER,1999-09-18,185,84,FALSE,TRUE,FALSE,FALSE
Jordan Boyd,Carlton,MEDIUM_DEFENDER,1998-09-22,182,80,TRUE,FALSE,FALSE,FALSE
Josh Honey,Carlton,MEDIUM_FORWARD,2001-10-17,186,85,FALSE,FALSE,FALSE,TRUE
Tom De Koning,Carlton,RUCK,1999-07-16,203,101,FALSE,FALSE,TRUE,TRUE
Sam Walsh,Carlton,MIDFIELDER,2000-07-02,184,84,FALSE,TRUE,FALSE,FALSE
Matthew Cottrell,Carlton,MIDFIELDER_FORWARD,2000-02-29,185,80,FALSE,TRUE,FALSE,FALSE
Liam Stocker,Carlton,MEDIUM_DEFENDER,2000-01-23,184,86,TRUE,FALSE,FALSE,FALSE
Corey Durdin,Carlton,MEDIUM_FORWARD,2002-04-14,173,76,FALSE,FALSE,FALSE,TRUE
Brodie Kemp,Carlton,KEY_DEFENDER,2001-05-01,193,88,TRUE,FALSE,FALSE,FALSE
Sam Philp,Carlton,MEDIUM_FORWARD,2001-08-04,186,83,FALSE,FALSE,FALSE,TRUE
Luke Parks,Carlton,KEY_DEFENDER,2001-04-18,192,86,TRUE,FALSE,FALSE,FALSE
Jack Carroll,Carlton,MIDFIELDER,2002-12-20,188,82,FALSE,TRUE,FALSE,FALSE
Matthew Owies,Carlton,MEDIUM_FORWARD,1997-03-19,180,81,FALSE,FALSE,FALSE,TRUE
Domanic Akuei,Carlton,RUCK,2002-05-12,192,78,TRUE,FALSE,TRUE,FALSE
Jesse Motlop,Carlton,MEDIUM_FORWARD,2003-11-23,176,76,FALSE,FALSE,FALSE,TRUE
Alex Mirkov,Carlton,RUCK,1999-11-17,210,104,FALSE,FALSE,TRUE,FALSE
Ed Curnow,Carlton,MIDFIELDER,1989-11-07,179,86,FALSE,TRUE,FALSE,FALSE
Liam Jones,Carlton,KEY_DEFENDER,1991-02-24,199,100,FALSE,FALSE,FALSE,FALSE
Jack Newnes,Carlton,MIDFIELDER,1993-02-24,185,84,FALSE,TRUE,FALSE,FALSE
George Hewett,Carlton,MIDFIELDER,1995-12-29,187,85,TRUE,TRUE,FALSE,FALSE
Lachie Plowman,Carlton,MEDIUM_DEFENDER,1994-09-11,193,87,TRUE,FALSE,FALSE,FALSE
Zac Williams,Carlton,MEDIUM_DEFENDER,1994-09-20,185,85,TRUE,FALSE,FALSE,FALSE
Adam Saad,Carlton,MEDIUM_DEFENDER,1994-07-23,178,77,TRUE,FALSE,FALSE,FALSE
Sam Docherty,Carlton,MEDIUM_DEFENDER,1993-10-17,185,86,TRUE,FALSE,FALSE,FALSE
Jack Martin,Carlton,MEDIUM_FORWARD,1995-01-29,186,82,FALSE,FALSE,FALSE,TRUE
Mitch McGovern,Carlton,KEY_DEFENDER,1994-10-11,191,89,FALSE,FALSE,FALSE,TRUE
Nic Newman,Carlton,MEDIUM_DEFENDER,1993-01-15,187,80,TRUE,FALSE,FALSE,FALSE
Marc Pittonet,Carlton,RUCK,1996-06-03,202,104,FALSE,FALSE,TRUE,FALSE
Caleb Marchbank,Carlton,MEDIUM_DEFENDER,1996-12-07,193,92,TRUE,FALSE,FALSE,FALSE
Patrick Cripps,Carlton,MIDFIELDER,1995-03-18,195,93,FALSE,TRUE,FALSE,FALSE
Oscar McDonald,Carlton,KEY_DEFENDER,1996-03-18,196,98,FALSE,FALSE,FALSE,TRUE
David Cuningham,Carlton,MEDIUM_FORWARD,1997-03-30,186,85,FALSE,TRUE,FALSE,TRUE
Jacob Weitering,Carlton,KEY_DEFENDER,1997-11-23,196,101,TRUE,FALSE,FALSE,FALSE
Charlie Curnow,Carlton,KEY_FORWARD,1997-02-03,192,92,FALSE,FALSE,FALSE,TRUE
Lewis Young,Carlton,KEY_DEFENDER,1998-12-20,201,100,TRUE,FALSE,TRUE,FALSE
Tom Williamson,Carlton,MEDIUM_DEFENDER,1998-12-12,190,85,TRUE,FALSE,FALSE,FALSE
Will Setterfield,Carlton,MIDFIELDER,1998-02-05,192,87,FALSE,TRUE,FALSE,FALSE
Zac Fisher,Carlton,MEDIUM_FORWARD,1998-06-15,179,76,FALSE,FALSE,FALSE,TRUE
Callum Coleman-Jones,North Melbourne,KEY_FORWARD,1999-06-13,200,105,FALSE,FALSE,TRUE,TRUE
Nick Larkey,North Melbourne,KEY_FORWARD,1998-06-06,198,95,FALSE,FALSE,FALSE,TRUE
Ben McKay,North Melbourne,KEY_DEFENDER,1997-12-24,201,99,TRUE,FALSE,FALSE,FALSE
Jaidyn Stephenson,North Melbourne,MIDFIELDER_FORWARD,1999-01-15,188,75,FALSE,TRUE,FALSE,TRUE
Luke Davies-Uniacke,North Melbourne,MIDFIELDER,1999-06-08,188,87,FALSE,TRUE,FALSE,FALSE
Paul Curtis,North Melbourne,MEDIUM_FORWARD,2003-03-04,185,75,FALSE,FALSE,FALSE,TRUE
Aiden Bonar,North Melbourne,MEDIUM_DEFENDER,1999-03-08,188,87,TRUE,FALSE,FALSE,FALSE
Lachie Young,North Melbourne,MEDIUM_DEFENDER,1999-04-06,189,81,TRUE,TRUE,FALSE,FALSE
Tristan Xerri,North Melbourne,RUCK,1999-03-15,201,99,FALSE,FALSE,TRUE,TRUE
Tarryn Thomas,North Melbourne,MIDFIELDER,2000-03-25,189,76,FALSE,TRUE,FALSE,TRUE
Bailey Scott,North Melbourne,MEDIUM_DEFENDER,2000-07-09,186,77,TRUE,FALSE,FALSE,TRUE
Curtis Taylor,North Melbourne,MIDFIELDER_FORWARD,2000-04-06,187,78,FALSE,TRUE,FALSE,TRUE
